uei,lat,lon
LXCNYLGGX6N7,40.76504898071289,-73.96005249023438
YXJGGNC5J269,39.11417007446289,-94.62745666503906
U9JCYEXFEEU4,32.42414855957031,-85.69096374511719
LJBXV5VF2BT9,37.33938980102539,-121.89495849609375
H65GNDPBTRY7,44.85591125488281,-93.22704315185547
T72NHKM259N3,39.68372,-75.74966
JJG6HU8PA4S5,38.02931,-78.47668
QD4MGHFDJKU1,39.9523811340332,-75.16361999511719
C8H9CNG1VBD9,40.71427,-74.00597
U3NVH931QJJ3,35.7721,-78.63861
NNYDFK5FTSX9,36.11560821533203,-97.0583724975586
MBKKNQM9QME3,42.04114,-87.69006
NFHEUCKBFMU4,47.60620880126953,-122.33206939697266
NH77YPDEGG84,42.73698,-84.48387
LFDKLGTB62C4,38.89511,-77.03637
QJ8HMDK7MRM3,32.71571,-117.16472
JBQ9M3PLFDP5,43.07305,-89.40123
LLABHNB9ABM4,18.46633,-66.10572
MGUCX773RNJ8,32.7157096862793,-117.16471862792969
DDL5KU1YZLP3,38.89511,-77.03637
GZRNJ1GZDBM1,18.46633,-66.10572
FDLEQSJ8FF63,64.83778381347656,-147.7163848876953
FXKMA43NTV21,29.76328,-95.36327
JJKGF97BMBE1,46.00382,-112.53474
YH86RTW2YVJ4,39.16533,-86.52639
ELA9KB9GJCN8,36.84680938720703,-76.28521728515625
XNY5ULPU8EN6,29.95465,-90.07507
XR6LMXNKDJJ1,44.38758,-68.2039
UYLKBRENAPG5,38.98067,-77.10026
S9GFNEC7QLZ7,40.714271545410156,-74.00596618652344
M7PNRH24BBM8,39.62953,-79.9559
RZZ8BMQ47KX3,39.187110900878906,-75.54206848144531
JZD1HLM2ZU83,39.14048767089844,-84.50108337402344
M3GAQBN4BWH6,34.73040008544922,-86.5859375
MBD2CZMR5N48,40.01499,-105.27055
NJ1YPQXQG7U5,40.34872,-74.65905
FL6GV84CKN57,41.30815,-72.92816
QJZ1F3UMLEJ4,34.108341217041016,-117.2897720336914
MKAGLD59JRL1,40.44062,-79.99589
GKPBCFV1QMM3,30.33218002319336,-81.65564727783203
MAYKB1LWD5U9,43.77100372314453,-70.27682495117188
J3M5GZAT8N85,32.31232,-106.77834
NLG5Q8FA5TE8,38.94151306152344,-77.33953094482422
LT9CXX8L19G1,40.58526,-105.08442
W8LKB16HV1K5,30.43825912475586,-84.28073120117188
D3LHU66KBLD5,35.9132,-79.05584
N52NHWMBZNG5,39.084049224853516,-94.57717895507812
P1RTMASB37B5,33.90249252319336,-118.13292694091797
U3NKNFLNQ613,40.44062,-79.99589
NMJHD63STRC5,33.791770935058594,-84.39508819580078
FFWJTXCKDLK5,42.37092971801758,-71.18283081054688
PK9FMGRDRVD5,36.408409118652344,-83.47925567626953
DRRKVZVXSND3,47.61601257324219,-122.33078002929688
EADLFP7Z72E5,38.84621810913086,-77.3063735961914
KMH5K9V7S518,37.77493,-122.41942
MNJDKB4FXLM6,40.71427,-74.00597
JNBLLTBTLLD8,38.62726974487305,-90.19789123535156
JF2BLNN4PJC3,30.43825912475586,-84.28073120117188
K4FYB2EJVL32,34.74648,-92.28959
SLMPURD4W9U9,37.02987,-76.34522
